Model,SelectionMethod,RegularizationMode,NumRealParameters,ParameterMatchedTarget,ParameterDifference,InternalTrainNMSEdB,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,SelectedLambda,DOMPSupportSize,EffectiveFeatureCount,PhaseNormalization,IQCoupling,RelativePredictionErrorToComplex,FLOPsPerSample,AdditionalOperationsPerSample,NNSeed,BestDenseEpoch,BestFineTuneEpoch,NNHiddenNeurons,TrainingTimeSeconds,TargetActiveParams,ActualActiveParams,ActiveWeights,ActiveBiases,WeightSparsityPercent,FinalFitSamples,FullSignalSamples,NormalizationSamples
Complex GMP DOMP-100,DOMP,LS,200,NaN,NaN,-38.4067609330202,-38.2627190420314,-38.4016290290242,-38.2573078374343,0,100,100,0,complex coefficients,0,1100,"13 magnitude (including 13 sqrt)",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Complex GMP DOMP-100,DOMP,Fixed Ridge,200,NaN,NaN,-36.7985579343008,-36.5725849102039,-36.782029243667,-36.7062346314379,1e-05,100,100,0,complex coefficients,0,1100,"13 magnitude (including 13 sqrt)",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Complex GMP DOMP-100,DOMP,Validation-selected Ridge,200,NaN,NaN,-38.4067609330202,-38.2627190420314,-38.4016290290242,-38.2573078374343,0,100,100,0,complex coefficients,0,1100,"13 magnitude (including 13 sqrt)",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Coupled PN-IQ (shared DOMP-100),DOMP,LS,200,NaN,NaN,-38.4067609330228,-38.2627190420875,-38.4016290290056,-38.2573078374418,0,100,200,1,coupled complex-equivalent,1.32555926181859e-11,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Coupled PN-IQ (shared DOMP-100),DOMP,Fixed Ridge,200,NaN,NaN,-36.7985579343008,-36.5725849102039,-36.782029243667,-36.7062346314379,1e-05,100,200,1,coupled complex-equivalent,7.66052469198375e-16,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Coupled PN-IQ (shared DOMP-100),DOMP,Validation-selected Ridge,200,NaN,NaN,-38.4067609330228,-38.2627190420875,-38.4016290290056,-38.2573078374418,0,100,200,1,coupled complex-equivalent,1.32555926181859e-11,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,NaN,200,200,0,0,49151,491520,NaN
Independent PN-IQ full,DOMP,LS,344,344,0,-38.9347170410337,-38.8161069790024,-39.0046846966532,-38.8388248530625,0,100,172,1,independent I/Q,NaN,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,344,344,344,0,0,49151,491520,NaN
Independent PN-IQ full,DOMP,Fixed Ridge,344,344,0,-37.1710000219147,-36.9824809268199,-37.2039288316273,-37.1204420737001,1e-05,100,172,1,independent I/Q,NaN,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,344,344,344,0,0,49151,491520,NaN
Independent PN-IQ full,DOMP,Validation-selected Ridge,344,344,0,-38.9347170410337,-38.8161069790024,-39.0046846966532,-38.8388248530625,0,100,172,1,independent I/Q,NaN,1026,"13 magnitude (including 13 sqrt), 2 division, phase normalization/restoration arithmetic in FLOPs",NaN,NaN,NaN,NaN,NaN,344,344,344,0,0,49151,491520,NaN
Complex GMP DOMP parameter-matched,DOMP,LS,344,344,0,-38.68718647741,-38.4770680706315,-38.6721605925898,-38.4583953649355,0,172,172,0,complex coefficients,NaN,1837,"14 magnitude (including 14 sqrt)",NaN,NaN,NaN,NaN,NaN,344,344,344,0,0,49151,491520,NaN
