ActualRealParameters,WindowUpperParameters,HasFullWindow,ComplexGMPFutureGainDb,PNIQFutureGainDb,SparsePNNNFutureGainDb,WorstFutureGainDb,JointlyStabilized,Selected,ComplexGMPFLOPs,PNIQFLOPs,SparsePNNNFLOPs
20,120,1,5.22140580920332,10.1215001188253,26.6411469803894,26.6411469803894,0,0,97,87,200
30,130,1,2.98216759873507,6.97651663973336,17.3876235183663,17.3876235183663,0,0,150,111,220
40,140,1,2.25505023088122,5.04491448974106,11.127143224919,11.127143224919,0,0,209,143,240
50,150,1,1.65166224202923,3.92568889144869,8.89107218196653,8.89107218196653,0,0,257,175,260
60,160,1,0.965229394358602,3.33760705037906,8.74828103678249,8.74828103678249,0,0,305,223,280
70,170,1,0.662196905712513,2.9363401029248,9.1216041357493,9.1216041357493,0,0,362,269,300
80,180,1,0.533451095707598,2.18778038850598,8.93015320385299,8.93015320385299,0,0,417,295,320
90,190,1,0.474874007596135,1.95680636848375,8.02978888417693,8.02978888417693,0,0,476,317,340
100,200,1,0.429513263427154,1.58538761910128,4.52269179185313,4.52269179185313,0,0,526,345,360
110,210,1,0.409779243031601,1.44660058599595,3.98495657585085,3.98495657585085,0,0,583,382,380
120,220,1,0.340466468805388,1.21916968677476,3.85602272357637,3.85602272357637,0,0,643,412,400
130,230,1,0.326480909659367,1.17724230102711,4.02912647733381,4.02912647733381,0,0,695,443,420
140,240,1,0.315949001662609,1.07238065100028,4.13366112203835,4.13366112203835,0,0,752,487,440
150,250,1,0.285330897308285,0.971344949294618,4.10404304376453,4.10404304376453,0,0,802,517,460
160,260,1,0.155415088502934,0.930003450119642,3.99077082332516,3.99077082332516,0,0,852,545,480
170,270,1,0.115483198410807,0.88868144974807,3.84167251121715,3.84167251121715,0,0,909,579,500
180,280,1,0.0767420559045533,0.875974329742235,1.85856533176552,1.85856533176552,0,0,959,608,520
190,290,1,0.0745919135447863,0.447040976476742,1.87820309434814,1.87820309434814,0,0,1025,635,540
200,300,1,0.0680628743190965,0.440932393795109,2.04939262248379,2.04939262248379,0,0,1079,663,560
210,310,1,0.051364688254921,0.311229666756809,1.73723119815438,1.73723119815438,0,0,1131,703,580
220,320,1,0.0486318087752267,0.309619560657751,1.5797169961817,1.5797169961817,0,0,1190,731,600
230,330,1,0.0287438060739191,0.263981266788825,1.36651041668717,1.36651041668717,0,0,1240,758,620
240,340,1,0.0238935962975333,0.267844311942362,1.10479384319419,1.10479384319419,0,0,1290,790,640
250,350,1,0.0179955065229009,0.265671657592897,1.0748854178924,1.0748854178924,0,0,1342,825,660
260,360,1,0.0130721122181257,0.234796110590644,1.08818044025539,1.08818044025539,0,0,1392,853,680
270,370,1,0.0164142824734412,0.241744538149597,0.737183958850913,0.737183958850913,0,0,1442,879,700
280,380,1,0.0173165317184214,0.241458009503425,0.717540166086991,0.717540166086991,0,0,1493,909,720
290,390,1,0.0131226420690496,0.251829517091814,0.705587136589266,0.705587136589266,0,0,1543,933,740
300,400,1,0.00998557635642072,0.278452346405643,0.36628915367465,0.36628915367465,0,0,1593,966,760
310,410,1,0.00902685648154744,0.276646463571865,0.335604672970973,0.335604672970973,0,0,1643,1003,780
320,420,1,0.00901929746235908,0.244234070548302,0.293111205805154,0.293111205805154,0,0,1700,1038,800
330,430,1,0.00994784103654922,0.215451548353414,0.0977381219278826,0.215451548353414,0,0,1752,1065,820
340,440,1,0.0112139199778269,0.195228034498044,0.0771776318507733,0.195228034498044,1,1,1807,1095,840
350,450,1,0.00959177969408387,0.173537476411077,0.0793562585730925,0.173537476411077,1,0,1862,1121,860
360,460,1,0.00844073255832001,0.174805439619284,0.0489581243987445,0.174805439619284,1,0,1912,1150,880
370,470,1,0.00199837416972315,0.157662462991169,0.10986991066963,0.157662462991169,1,0,1962,1180,900
380,480,1,0.000709781246079899,0.14571253553968,0.106382361269361,0.14571253553968,1,0,2016,1211,920
390,490,1,0.000976878606230969,0.17414254683473,0.130890430401337,0.17414254683473,1,0,2066,1241,940
400,500,1,0,0.146899684071791,0.139493475107578,0.146899684071791,1,0,2120,1271,960
410,NaN,0,NaN,NaN,NaN,NaN,0,0,2172,1302,980
420,NaN,0,NaN,NaN,NaN,NaN,0,0,2225,1332,1000
430,NaN,0,NaN,NaN,NaN,NaN,0,0,2275,1364,1020
440,NaN,0,NaN,NaN,NaN,NaN,0,0,2325,1386,1040
450,NaN,0,NaN,NaN,NaN,NaN,0,0,2375,1408,1060
460,NaN,0,NaN,NaN,NaN,NaN,0,0,2425,1434,1080
470,NaN,0,NaN,NaN,NaN,NaN,0,0,2476,1464,1100
480,NaN,0,NaN,NaN,NaN,NaN,0,0,2526,1490,1120
490,NaN,0,NaN,NaN,NaN,NaN,0,0,2576,1510,1140
500,NaN,0,NaN,NaN,NaN,NaN,0,0,2627,1536,1160
