Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
Complex GMP-DOMP,20,20,0.001,-31.3195759040521,-31.3716660134456,97,109.538130062979
Complex GMP-DOMP,20,20,0.0001,-32.8749987889714,-32.9752520103876,97,112.568373782369
Complex GMP-DOMP,20,20,1e-05,-33.1282138785881,-33.2441150409431,97,110.967278474931
Complex GMP-DOMP,30,30,0.001,-32.2765638468871,-32.3533035404112,150,102.428759338835
Complex GMP-DOMP,30,30,0.0001,-34.4529614909785,-34.5429519137741,150,120.631774549404
Complex GMP-DOMP,30,30,1e-05,-35.1905918458992,-35.277554702648,150,140.574958779165
Complex GMP-DOMP,40,40,0.001,-32.790492793768,-32.8935610655749,209,101.602790336419
Complex GMP-DOMP,40,40,0.0001,-34.9748030545789,-35.0872005266306,209,121.596034260965
Complex GMP-DOMP,40,40,1e-05,-35.8351269731639,-35.9532585411838,209,142.394684755029
Complex GMP-DOMP,50,50,0.001,-33.5450386075179,-33.6081145620159,257,101.044443900319
Complex GMP-DOMP,50,50,0.0001,-35.3772536725625,-35.4371028412634,257,118.032254305158
Complex GMP-DOMP,50,50,1e-05,-36.3426000242421,-36.4127901167974,257,138.855005477111
Complex GMP-DOMP,60,60,0.001,-33.6371860777582,-33.6969745514952,305,99.4418686977079
Complex GMP-DOMP,60,60,0.0001,-35.610357057617,-35.6587088397033,305,116.903022460944
Complex GMP-DOMP,60,60,1e-05,-36.5216770581896,-36.5796515154593,305,134.546300755033
Complex GMP-DOMP,70,70,0.001,-33.7318325724419,-33.7964945418204,362,99.8969222701529
Complex GMP-DOMP,70,70,0.0001,-36.0872278531913,-36.1580452949183,362,117.953155492067
Complex GMP-DOMP,70,70,1e-05,-36.7779337405815,-36.8349450898792,362,133.039812649849
Complex GMP-DOMP,80,80,0.001,-33.7003752875481,-33.7506217562902,417,98.2553966023327
Complex GMP-DOMP,80,80,0.0001,-36.1773535242902,-36.2356730931037,417,117.924453159149
Complex GMP-DOMP,80,80,1e-05,-36.9022421467816,-36.9504047773457,417,133.332546564094
Complex GMP-DOMP,90,90,0.001,-33.7922894222134,-33.846480764261,476,98.0996839137485
Complex GMP-DOMP,90,90,0.0001,-36.219136539323,-36.2744544683854,476,117.735994339203
Complex GMP-DOMP,90,90,1e-05,-36.9783322305957,-37.0227782553944,476,133.548506199625
Complex GMP-DOMP,100,100,0.001,-33.8267811084113,-33.8823895852896,526,98.0225568419381
Complex GMP-DOMP,100,100,0.0001,-36.3139927670597,-36.3672932127655,526,117.663430098825
Complex GMP-DOMP,100,100,1e-05,-37.0370066074657,-37.0734378133038,526,133.344225086948
Complex GMP-DOMP,110,110,0.001,-33.914044003266,-33.9784550150945,583,96.0769905190917
Complex GMP-DOMP,110,110,0.0001,-36.3569467513676,-36.4151762780656,583,116.541235440612
Complex GMP-DOMP,110,110,1e-05,-37.0819455692411,-37.1241852782363,583,132.759400163114
Complex GMP-DOMP,120,120,0.001,-33.9273567799946,-33.9919622972637,643,96.0160614363594
Complex GMP-DOMP,120,120,0.0001,-36.3735425789091,-36.4322851003059,643,116.576228929267
Complex GMP-DOMP,120,120,1e-05,-37.1201278437319,-37.1640588111779,643,132.984795052596
Complex GMP-DOMP,130,130,0.001,-33.9783304692925,-34.0446237016447,695,95.9269703195612
Complex GMP-DOMP,130,130,0.0001,-36.4143164693276,-36.4690297920561,695,116.671618234651
Complex GMP-DOMP,130,130,1e-05,-37.1611036309187,-37.2032551697257,695,133.328434504885
Complex GMP-DOMP,140,140,0.001,-34.082263537884,-34.1362585402643,752,93.7821925017337
Complex GMP-DOMP,140,140,0.0001,-36.4180131636623,-36.4583890283992,752,114.763861554666
Complex GMP-DOMP,140,140,1e-05,-37.1799006305269,-37.2145318734741,752,133.136123348246
Complex GMP-DOMP,150,150,0.001,-34.1008628482178,-34.1511803693759,802,93.652609089595
Complex GMP-DOMP,150,150,0.0001,-36.4747590837527,-36.5130464158552,802,114.723115921799
Complex GMP-DOMP,150,150,1e-05,-37.1949739366888,-37.2262138066251,802,133.489498978931
Complex GMP-DOMP,160,160,0.001,-34.1563381832974,-34.2042290159158,852,93.4241664133356
Complex GMP-DOMP,160,160,0.0001,-36.5222360028894,-36.5620276131517,852,114.207749929522
Complex GMP-DOMP,160,160,1e-05,-37.213461354557,-37.2472539483575,852,133.187804542064
Complex GMP-DOMP,170,170,0.001,-34.1804807113126,-34.2250747688421,909,92.9036063814761
Complex GMP-DOMP,170,170,0.0001,-36.5283945121419,-36.5681674766814,909,113.849621270448
Complex GMP-DOMP,170,170,1e-05,-37.2219583601211,-37.2533924805381,909,133.234953795135
Complex GMP-DOMP,180,180,0.001,-34.2094577322813,-34.2526756225587,959,92.8417293623074
Complex GMP-DOMP,180,180,0.0001,-36.5385636242286,-36.5768472979362,959,113.707882133729
Complex GMP-DOMP,180,180,1e-05,-37.2233115640349,-37.2535105729511,959,133.154007570552
Complex GMP-DOMP,190,190,0.001,-34.2229701373333,-34.2638259256798,1025,92.8279221798175
Complex GMP-DOMP,190,190,0.0001,-36.551435177514,-36.588020028818,1025,113.700804624295
Complex GMP-DOMP,190,190,1e-05,-37.2314764399612,-37.2612816277893,1025,133.117405442121
Complex GMP-DOMP,200,200,0.001,-34.2328810741454,-34.2730481277744,1079,92.7825742355708
Complex GMP-DOMP,200,200,0.0001,-36.5584646062614,-36.5961919139259,1079,113.665618792833
Complex GMP-DOMP,200,200,1e-05,-37.235499657064,-37.2669958619697,1079,132.985429961577
Complex GMP-DOMP,210,210,0.001,-34.232997855039,-34.2735795150751,1131,92.7691893209299
Complex GMP-DOMP,210,210,0.0001,-36.5653178308979,-36.6063887635237,1131,113.659614670147
Complex GMP-DOMP,210,210,1e-05,-37.2415921936101,-37.2756277651755,1131,133.034161344773
Complex GMP-DOMP,220,220,0.001,-34.1696127337304,-34.2092049282974,1190,91.2347800487581
Complex GMP-DOMP,220,220,0.0001,-36.5772207622495,-36.6185793029287,1190,113.20506472623
Complex GMP-DOMP,220,220,1e-05,-37.2503966491332,-37.281870850545,1190,132.942014859373
Complex GMP-DOMP,230,230,0.001,-34.1808181447169,-34.2191969775975,1240,90.9875009598932
Complex GMP-DOMP,230,230,0.0001,-36.59409586149,-36.6359186540509,1240,112.987927343687
Complex GMP-DOMP,230,230,1e-05,-37.2570217597472,-37.2893502959031,1240,132.649305044696
Complex GMP-DOMP,240,240,0.001,-34.1203153811469,-34.1546631742097,1290,90.621048032125
Complex GMP-DOMP,240,240,0.0001,-36.6063695510275,-36.6492992476536,1290,112.998675452103
Complex GMP-DOMP,240,240,1e-05,-37.2622339279418,-37.2943917853701,1290,132.577649420572
Complex GMP-DOMP,250,250,0.001,-34.1180165446698,-34.1522980249424,1342,90.5727488598165
Complex GMP-DOMP,250,250,0.0001,-36.611301759794,-36.6531346455447,1342,112.987153872266
Complex GMP-DOMP,250,250,1e-05,-37.2647198926673,-37.2955184218942,1342,132.590993570055
Complex GMP-DOMP,260,260,0.001,-34.1375132084425,-34.169232268982,1392,90.5378371375012
Complex GMP-DOMP,260,260,0.0001,-36.624601532958,-36.663932913041,1392,112.837207297895
Complex GMP-DOMP,260,260,1e-05,-37.2741750376478,-37.304233619131,1392,132.449684902541
Complex GMP-DOMP,270,270,0.001,-34.139810025285,-34.1683765926916,1442,90.4110339054116
Complex GMP-DOMP,270,270,0.0001,-36.6249721848733,-36.6601119096359,1442,112.7341395553
Complex GMP-DOMP,270,270,1e-05,-37.2803426546048,-37.3082458824803,1442,132.441042660948
Complex GMP-DOMP,280,280,0.001,-34.1365062001802,-34.1646456579207,1493,90.368966416642
Complex GMP-DOMP,280,280,0.0001,-36.6280032110264,-36.6619133417416,1493,112.728562343534
Complex GMP-DOMP,280,280,1e-05,-37.2852168320612,-37.3102491968251,1493,132.463370775244
Complex GMP-DOMP,290,290,0.001,-34.1642955307951,-34.1906730584517,1543,90.2982944145858
Complex GMP-DOMP,290,290,0.0001,-36.6441028635249,-36.678079325021,1543,112.69923509872
Complex GMP-DOMP,290,290,1e-05,-37.2929073501743,-37.3161488635347,1543,132.394242393617
Complex GMP-DOMP,300,300,0.001,-34.190032935649,-34.2169130061259,1593,90.1830104603604
Complex GMP-DOMP,300,300,0.0001,-36.6530257170486,-36.6862151180265,1593,112.678659121092
Complex GMP-DOMP,300,300,1e-05,-37.2968531955856,-37.3178590920489,1593,132.257373160333
Complex GMP-DOMP,310,310,0.001,-34.1774569924348,-34.2055753120258,1643,90.1570467443785
Complex GMP-DOMP,310,310,0.0001,-36.6548208234583,-36.6874576279986,1643,112.590611346475
Complex GMP-DOMP,310,310,1e-05,-37.2995275561651,-37.3191848613959,1643,132.29672275612
Complex GMP-DOMP,320,320,0.001,-34.179189107944,-34.2049743218513,1700,90.1335209964937
Complex GMP-DOMP,320,320,0.0001,-36.6548485875252,-36.6861486293546,1700,112.580786820656
Complex GMP-DOMP,320,320,1e-05,-37.3008787643871,-37.3198083888903,1700,132.32353413969
Complex GMP-DOMP,330,330,0.001,-34.1803838603361,-34.2059177568862,1752,90.1256393430252
Complex GMP-DOMP,330,330,0.0001,-36.6653128748412,-36.6953393890733,1752,112.657733078142
Complex GMP-DOMP,330,330,1e-05,-37.3086269816575,-37.3265144288738,1752,132.177274256377
Complex GMP-DOMP,340,340,0.001,-34.1782386535447,-34.2033913751247,1807,90.1056481407481
Complex GMP-DOMP,340,340,0.0001,-36.6657417298351,-36.6952255392202,1807,112.659356283267
Complex GMP-DOMP,340,340,1e-05,-37.3099488793708,-37.3261840908986,1807,132.179387161002
Complex GMP-DOMP,350,350,0.001,-34.1869472285863,-34.2115375526288,1862,90.0992256049794
Complex GMP-DOMP,350,350,0.0001,-36.6690670451059,-36.6973272778534,1862,112.630654779471
