Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,20,20,Validation-selected Ridge,1e-05,-31.1121238748506,-31.1569244799992,-31.1569397944628,116,20,0,NaN,Not applicable,NaN,NaN,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,30,30,Validation-selected Ridge,0,-33.6457520569944,-33.6540332557132,-33.6519112278571,164,30,0,NaN,Not applicable,NaN,NaN,15,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,40,40,Validation-selected Ridge,0,-34.8025102765394,-34.9655720873714,-34.9242567463323,222,40,0,NaN,Not applicable,NaN,NaN,20,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,50,50,Validation-selected Ridge,0,-35.8026568060467,-36.0126741025727,-35.9708008103188,275,50,0,NaN,Not applicable,NaN,NaN,25,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,60,60,Validation-selected Ridge,0,-36.072334344636,-36.4892439517716,-36.4069729221775,331,60,0,NaN,Not applicable,NaN,NaN,30,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,70,70,Validation-selected Ridge,0,-36.5824480776722,-37.0639046282578,-36.9560372363109,377,70,0,NaN,Not applicable,NaN,NaN,35,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,80,80,Validation-selected Ridge,0,-37.1588532891206,-37.4366288595576,-37.3053916578646,434,80,0,NaN,Not applicable,NaN,NaN,40,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,90,90,Validation-selected Ridge,0,-37.3374848072058,-37.6005305773951,-37.4771326809267,490,90,0,NaN,Not applicable,NaN,NaN,45,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,100,100,Validation-selected Ridge,0,-37.5818301510805,-37.7142829151157,-37.6115755778429,549,100,0,NaN,Not applicable,NaN,NaN,50,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,110,110,Validation-selected Ridge,0,-37.6518795327839,-37.8381366067689,-37.7370921153866,602,110,0,NaN,Not applicable,NaN,NaN,55,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,120,120,Validation-selected Ridge,0,-37.7724855186425,-37.9141172014606,-37.8167605178092,656,120,0,NaN,Not applicable,NaN,NaN,60,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,130,130,Validation-selected Ridge,0,-37.9905929870448,-37.9949326129626,-37.8769545933103,709,130,0,NaN,Not applicable,NaN,NaN,65,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
