Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,20,20,0.001,-30.4291958689766,-30.4306239048396,116
Complex GMP-DOMP,20,20,0.0001,-31.1446026318854,-31.1443945169469,116
Complex GMP-DOMP,20,20,1e-05,-31.1569244799992,-31.1569397944628,116
Complex GMP-DOMP,30,30,0.001,-32.6275227606046,-32.6589300963467,164
Complex GMP-DOMP,30,30,0.0001,-33.5002637781653,-33.516346245875,164
Complex GMP-DOMP,30,30,1e-05,-33.6501711562062,-33.6508098361462,164
Complex GMP-DOMP,40,40,0.001,-33.3869402695261,-33.351330725198,222
Complex GMP-DOMP,40,40,0.0001,-34.4834493588616,-34.4268493713594,222
Complex GMP-DOMP,40,40,1e-05,-34.6888404160917,-34.618947023625,222
Complex GMP-DOMP,50,50,0.001,-34.3614923091745,-34.3274203735455,275
Complex GMP-DOMP,50,50,0.0001,-35.0316877312976,-34.9814130486313,275
Complex GMP-DOMP,50,50,1e-05,-35.3512347666377,-35.2998893414908,275
Complex GMP-DOMP,60,60,0.001,-34.5487827288923,-34.5198428851383,331
Complex GMP-DOMP,60,60,0.0001,-35.2672623460933,-35.2247245418137,331
Complex GMP-DOMP,60,60,1e-05,-35.6361646454171,-35.5913564830854,331
Complex GMP-DOMP,70,70,0.001,-34.6414947340033,-34.6139131051528,377
Complex GMP-DOMP,70,70,0.0001,-35.338966091546,-35.2877053064226,377
Complex GMP-DOMP,70,70,1e-05,-35.7053068293098,-35.6489496688484,377
Complex GMP-DOMP,80,80,0.001,-34.7014519730945,-34.6561993719956,434
Complex GMP-DOMP,80,80,0.0001,-35.5134873044749,-35.4601042027696,434
Complex GMP-DOMP,80,80,1e-05,-35.9450073966318,-35.8911918896932,434
Complex GMP-DOMP,90,90,0.001,-34.7268500941264,-34.701539708289,490
Complex GMP-DOMP,90,90,0.0001,-35.6218721007843,-35.5957715535195,490
Complex GMP-DOMP,90,90,1e-05,-36.1880936896855,-36.1505024457994,490
Complex GMP-DOMP,100,100,0.001,-34.9188074918167,-34.8834733140579,549
Complex GMP-DOMP,100,100,0.0001,-35.7878125138666,-35.7523614542225,549
Complex GMP-DOMP,100,100,1e-05,-36.268639825287,-36.2342295427414,549
Complex GMP-DOMP,110,110,0.001,-34.9867698347981,-34.9537383026379,602
Complex GMP-DOMP,110,110,0.0001,-35.8246868011891,-35.7865070137378,602
Complex GMP-DOMP,110,110,1e-05,-36.3631503104611,-36.3217544343571,602
Complex GMP-DOMP,120,120,0.001,-34.970411522562,-34.9351966600131,656
Complex GMP-DOMP,120,120,0.0001,-35.842900562592,-35.8073158223249,656
Complex GMP-DOMP,120,120,1e-05,-36.3935445067137,-36.3573676352251,656
Complex GMP-DOMP,130,130,0.001,-34.986644117599,-34.9451696310965,709
Complex GMP-DOMP,130,130,0.0001,-35.8848078445987,-35.8385733869939,709
Complex GMP-DOMP,130,130,1e-05,-36.4514782251976,-36.3985418131825,709
Complex GMP-DOMP,140,140,0.001,-35.0170535407381,-34.9717299430489,762
Complex GMP-DOMP,140,140,0.0001,-35.9697749433293,-35.9155479029121,762
Complex GMP-DOMP,140,140,1e-05,-36.5608539803523,-36.4952474410272,762
Complex GMP-DOMP,150,150,0.001,-35.0305248528467,-34.988437838953,812
Complex GMP-DOMP,150,150,0.0001,-36.0014818366665,-35.9472474049851,812
Complex GMP-DOMP,150,150,1e-05,-36.6117977523847,-36.5460684049809,812
Complex GMP-DOMP,160,160,0.001,-35.0538574088185,-35.0119352857789,862
Complex GMP-DOMP,160,160,0.0001,-36.032007072611,-35.9785643231633,862
Complex GMP-DOMP,160,160,1e-05,-36.6425653763789,-36.5784665006857,862
Complex GMP-DOMP,170,170,0.001,-35.0666558113709,-35.0274310731737,925
Complex GMP-DOMP,170,170,0.0001,-36.0413381230254,-35.988430276133,925
Complex GMP-DOMP,170,170,1e-05,-36.6601888426786,-36.5964438772453,925
Complex GMP-DOMP,180,180,0.001,-35.0832577671557,-35.0395239429612,1000
Complex GMP-DOMP,180,180,0.0001,-36.0713785597389,-36.011617040655,1000
Complex GMP-DOMP,180,180,1e-05,-36.6998820232365,-36.6310609683529,1000
Complex GMP-DOMP,190,190,0.001,-35.1215818391893,-35.0813555215363,1050
Complex GMP-DOMP,190,190,0.0001,-36.1211336908824,-36.0678890079743,1050
Complex GMP-DOMP,190,190,1e-05,-36.7381268253244,-36.6734923313909,1050
Complex GMP-DOMP,200,200,0.001,-35.2243596495678,-35.1790940883495,1100
Complex GMP-DOMP,200,200,0.0001,-36.2212656886949,-36.1562916501873,1100
Complex GMP-DOMP,200,200,1e-05,-36.782029243667,-36.7062346314379,1100
Complex GMP-DOMP,210,210,0.001,-35.2513613847038,-35.2067668658371,1155
Complex GMP-DOMP,210,210,0.0001,-36.2486774490394,-36.1852839164966,1155
Complex GMP-DOMP,210,210,1e-05,-36.8183687011316,-36.7440891394444,1155
Complex GMP-DOMP,220,220,0.001,-35.2641074742357,-35.2181184676212,1208
Complex GMP-DOMP,220,220,0.0001,-36.2632444946669,-36.1997764401657,1208
Complex GMP-DOMP,220,220,1e-05,-36.8350438033032,-36.7608034584451,1208
Complex GMP-DOMP,230,230,0.001,-35.2834850880255,-35.2363370896548,1258
Complex GMP-DOMP,230,230,0.0001,-36.2921956838279,-36.2283924002252,1258
Complex GMP-DOMP,230,230,1e-05,-36.8474343604989,-36.7734227978298,1258
Complex GMP-DOMP,240,240,0.001,-35.2148461640663,-35.1674269142817,1308
Complex GMP-DOMP,240,240,0.0001,-36.3088967150769,-36.24329046098,1308
Complex GMP-DOMP,240,240,1e-05,-36.8496789781706,-36.7757673613509,1308
Complex GMP-DOMP,250,250,0.001,-35.2319438288328,-35.1859580446855,1358
Complex GMP-DOMP,250,250,0.0001,-36.3475952721881,-36.2843882858617,1358
Complex GMP-DOMP,250,250,1e-05,-36.8727746872884,-36.8031320038597,1358
Complex GMP-DOMP,260,260,0.001,-35.236420393329,-35.1930006754579,1406
Complex GMP-DOMP,260,260,0.0001,-36.3663388033155,-36.306127787747,1406
Complex GMP-DOMP,260,260,1e-05,-36.8874891602442,-36.8209830039544,1406
Complex GMP-DOMP,270,270,0.001,-35.2377329343553,-35.1943690710781,1467
Complex GMP-DOMP,270,270,0.0001,-36.3715107620055,-36.3100844944801,1467
Complex GMP-DOMP,270,270,1e-05,-36.896605053168,-36.827597882501,1467
Complex GMP-DOMP,280,280,0.001,-35.2505893637706,-35.2056444672845,1517
Complex GMP-DOMP,280,280,0.0001,-36.3807300532549,-36.3180663353069,1517
Complex GMP-DOMP,280,280,1e-05,-36.8959388417685,-36.8260918456904,1517
Complex GMP-DOMP,290,290,0.001,-35.2555621805793,-35.2111976058694,1567
Complex GMP-DOMP,290,290,0.0001,-36.3911582213117,-36.328455718048,1567
Complex GMP-DOMP,290,290,1e-05,-36.9073530867458,-36.8376065539499,1567
Complex GMP-DOMP,300,300,0.001,-35.2520619002258,-35.2062719796654,1617
Complex GMP-DOMP,300,300,0.0001,-36.4010366283915,-36.3381452316271,1617
Complex GMP-DOMP,300,300,1e-05,-36.9173175043156,-36.8473642695071,1617
Complex GMP-DOMP,310,310,0.001,-35.2555925476289,-35.208810307121,1667
