Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,20,20,0.001,-30.4291958689766,-30.4306239048396,116
Complex GMP-DOMP,20,20,0.0001,-31.1446026318854,-31.1443945169469,116
Complex GMP-DOMP,20,20,1e-05,-31.1569244799992,-31.1569397944628,116
Complex GMP-DOMP,170,170,0.001,-35.0666558113709,-35.0274310731737,925
Complex GMP-DOMP,170,170,0.0001,-36.0413381230253,-35.988430276133,925
Complex GMP-DOMP,170,170,1e-05,-36.6601888426786,-36.5964438772453,925
Complex GMP-DOMP,340,340,0.001,-35.2655281919623,-35.2174979362019,1817
Complex GMP-DOMP,340,340,0.0001,-36.4122455795735,-36.3462036699292,1817
Complex GMP-DOMP,340,340,1e-05,-36.9326254698967,-36.8580731749267,1817
PN-IQ PN-DOMP,20,20,0.001,-29.6009844468828,-29.5490937216247,104
PN-IQ PN-DOMP,20,20,0.0001,-30.2835135276548,-30.2273759334581,104
PN-IQ PN-DOMP,20,20,1e-05,-30.2952833909197,-30.2400252581392,104
PN-IQ PN-DOMP,170,170,0.001,-35.1555441636335,-35.1269334849396,569
PN-IQ PN-DOMP,170,170,0.0001,-36.2183536924754,-36.171252978856,569
PN-IQ PN-DOMP,170,170,1e-05,-36.8107662138525,-36.7526443316669,569
PN-IQ PN-DOMP,340,340,0.001,-35.4940164331706,-35.435178562944,1107
PN-IQ PN-DOMP,340,340,0.0001,-36.6759238065715,-36.6033891142046,1107
PN-IQ PN-DOMP,340,340,1e-05,-37.2572093415868,-37.1788026389241,1107
