Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,20,20,Validation-selected Ridge,1e-06,-33.1302290365796,-33.1343589301728,-33.2516735927266,97,20,0,NaN,Not applicable,NaN,NaN,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,30,30,Validation-selected Ridge,0,-35.3919308250511,-35.4231723530751,-35.5247853650422,150,30,0,NaN,Not applicable,NaN,NaN,15,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,40,40,Validation-selected Ridge,0,-36.1324881530623,-36.1526663279058,-36.2672848506692,209,40,0,NaN,Not applicable,NaN,NaN,20,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,50,50,Validation-selected Ridge,0,-36.7717126877898,-36.8426268503463,-36.9071890336501,257,50,0,NaN,Not applicable,NaN,NaN,25,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,60,60,Validation-selected Ridge,0,-37.6173120356275,-37.6721761296941,-37.7290396493349,305,60,0,NaN,Not applicable,NaN,NaN,30,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,70,70,Validation-selected Ridge,0,-37.9970113106768,-38.0301367173016,-38.0751042162064,362,70,0,NaN,Not applicable,NaN,NaN,35,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,80,80,Validation-selected Ridge,0,-38.1576072176622,-38.2086243503585,-38.2429775123962,417,80,0,NaN,Not applicable,NaN,NaN,40,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,90,90,Validation-selected Ridge,0,-38.2213174007358,-38.2715759847785,-38.3078986325168,476,90,0,NaN,Not applicable,NaN,NaN,45,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,100,100,Validation-selected Ridge,0,-38.2740283188616,-38.3411020155597,-38.3636352628702,526,100,0,NaN,Not applicable,NaN,NaN,50,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,110,110,Validation-selected Ridge,0,-38.3452354580287,-38.3814646025262,-38.4010261892048,583,110,0,NaN,Not applicable,NaN,NaN,55,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,120,120,Validation-selected Ridge,0,-38.3758757527154,-38.4528929313448,-38.4730794019299,643,120,0,NaN,Not applicable,NaN,NaN,60,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,130,130,Validation-selected Ridge,0,-38.6022780575807,-38.4874882195572,-38.5069529637772,695,130,0,NaN,Not applicable,NaN,NaN,65,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,140,140,Validation-selected Ridge,0,-38.6342034013885,-38.5091970800515,-38.5223350815504,752,140,0,NaN,Not applicable,NaN,NaN,70,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,150,150,Validation-selected Ridge,0,-38.6600790558562,-38.5521110721039,-38.5588512756793,802,150,0,NaN,Not applicable,NaN,NaN,75,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,160,160,Validation-selected Ridge,0,-38.6665109260981,-38.7033430516624,-38.6942690436935,852,160,0,NaN,Not applicable,NaN,NaN,80,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,170,170,Validation-selected Ridge,0,-38.6953099055633,-38.7416552502301,-38.7373011219189,909,170,0,NaN,Not applicable,NaN,NaN,85,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,180,180,Validation-selected Ridge,0,-38.7274648399707,-38.7800252327514,-38.7764286081038,959,180,0,NaN,Not applicable,NaN,NaN,90,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,190,190,Validation-selected Ridge,0,-38.733354019608,-38.7884565008463,-38.782772640113,1025,190,0,NaN,Not applicable,NaN,NaN,95,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,200,200,Validation-selected Ridge,0,-38.7270903456536,-38.8006983811038,-38.7931485262974,1079,200,0,NaN,Not applicable,NaN,NaN,100,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,210,210,Validation-selected Ridge,0,-38.7306137148403,-38.8151706969032,-38.8108054322364,1131,210,0,NaN,Not applicable,NaN,NaN,105,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,220,220,Validation-selected Ridge,0,-38.7348196090115,-38.8233373689621,-38.8135458707353,1190,220,0,NaN,Not applicable,NaN,NaN,110,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,230,230,Validation-selected Ridge,0,-38.7422500361627,-38.8424131207136,-38.8334338734366,1240,230,0,NaN,Not applicable,NaN,NaN,115,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,240,240,Validation-selected Ridge,0,-38.7559043125667,-38.85068395468,-38.838284083213,1290,240,0,NaN,Not applicable,NaN,NaN,120,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,250,250,Validation-selected Ridge,0,-38.7617744299727,-38.8593584321455,-38.8441821729876,1342,250,0,NaN,Not applicable,NaN,NaN,125,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,260,260,Validation-selected Ridge,0,-38.7658795514233,-38.865884822008,-38.8496841321964,1392,260,0,NaN,Not applicable,NaN,NaN,130,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,270,270,Validation-selected Ridge,0,-38.7714726110461,-38.8737831821183,-38.8527843203297,1442,270,0,NaN,Not applicable,NaN,NaN,135,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,280,280,Validation-selected Ridge,0,-38.778210674723,-38.8788390143439,-38.8531706640084,1493,280,0,NaN,Not applicable,NaN,NaN,140,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,290,290,Validation-selected Ridge,0,-38.7809325019451,-38.884080347389,-38.8573645536577,1543,290,0,NaN,Not applicable,NaN,NaN,145,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,300,300,Validation-selected Ridge,0,-38.7850437178041,-38.8887284463275,-38.8612114006165,1593,300,0,NaN,Not applicable,NaN,NaN,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,310,310,Validation-selected Ridge,0,-38.7896266614813,-38.8932079426066,-38.8621701204913,1643,310,0,NaN,Not applicable,NaN,NaN,155,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,320,320,Validation-selected Ridge,0,-38.7893245933918,-38.8971693884916,-38.8621776795105,1700,320,0,NaN,Not applicable,NaN,NaN,160,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,330,330,Validation-selected Ridge,0,-38.7821650258171,-38.8998677104695,-38.8612491359363,1752,330,0,NaN,Not applicable,NaN,NaN,165,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,340,340,Validation-selected Ridge,0,-38.7823538206157,-38.903441250608,-38.859983056995,1807,340,0,NaN,Not applicable,NaN,NaN,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,350,350,Validation-selected Ridge,0,-38.7824314271907,-38.9069084406143,-38.8616051972788,1862,350,0,NaN,Not applicable,NaN,NaN,175,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,360,360,Validation-selected Ridge,0,-38.7777365642608,-38.9096991684238,-38.8627562444146,1912,360,0,NaN,Not applicable,NaN,NaN,180,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,370,370,Validation-selected Ridge,0,-38.7782859746574,-38.918447611062,-38.8691986028032,1962,370,0,NaN,Not applicable,NaN,NaN,185,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,380,380,Validation-selected Ridge,0,-38.7767423426989,-38.9202896435258,-38.8704871957268,2016,380,0,NaN,Not applicable,NaN,NaN,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,390,390,Validation-selected Ridge,0,-38.7713833391162,-38.922183938297,-38.8702200983666,2066,390,0,NaN,Not applicable,NaN,NaN,195,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,400,400,Validation-selected Ridge,0,-38.7811645112997,-38.9241826168979,-38.8711969769729,2120,400,0,NaN,Not applicable,NaN,NaN,200,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,410,410,Validation-selected Ridge,0,-38.7831801820212,-38.9278626993405,-38.8704275567419,2172,410,0,NaN,Not applicable,NaN,NaN,205,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,420,420,Validation-selected Ridge,0,-38.7833927639098,-38.9316029333424,-38.8691267319706,2225,420,0,NaN,Not applicable,NaN,NaN,210,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,430,430,Validation-selected Ridge,0,-38.7916892174943,-38.9371620799577,-38.8649752298678,2275,430,0,NaN,Not applicable,NaN,NaN,215,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,440,440,Validation-selected Ridge,0,-38.7935357326093,-38.9396162997787,-38.864066363514,2325,440,0,NaN,Not applicable,NaN,NaN,220,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
