Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter
Complex GMP DOMP sweep,20,20,1e-06,-33.1302290365796,-33.1343589301728,-33.2516735927266,97,20,0,NaN,NaN,9077385.23324224
Complex GMP DOMP sweep,30,30,0,-35.3919308250511,-35.4231723530751,-35.5247853650422,150,30,0,NaN,NaN,230856090.044189
Complex GMP DOMP sweep,40,40,0,-36.1324881530623,-36.1526663279058,-36.2672848506692,209,40,0,NaN,NaN,5900234046.79104
Complex GMP DOMP sweep,50,50,0,-36.7717126877898,-36.8426268503463,-36.9071890336501,257,50,0,NaN,NaN,5888416084.44059
Complex GMP DOMP sweep,60,60,0,-37.6173120356275,-37.6721761296941,-37.7290396493349,305,60,0,NaN,NaN,5685300658.78272
Complex GMP DOMP sweep,70,70,0,-37.9970113106768,-38.0301367173016,-38.0751042162064,362,70,0,NaN,NaN,6268825966348.45
Complex GMP DOMP sweep,80,80,0,-38.1576072176622,-38.2086243503585,-38.2429775123962,417,80,0,NaN,NaN,6206384903280.5
Complex GMP DOMP sweep,90,90,0,-38.2213174007358,-38.2715759847785,-38.3078986325168,476,90,0,NaN,NaN,4401098373405.82
Complex GMP DOMP sweep,100,100,0,-38.2740283188616,-38.3411020155597,-38.3636352628702,526,100,0,NaN,NaN,155508264342814
Complex GMP DOMP sweep,110,110,0,-38.3452354580287,-38.3814646025262,-38.4010261892048,583,110,0,NaN,NaN,154828352503402
Complex GMP DOMP sweep,120,120,0,-38.3758757527154,-38.4528929313448,-38.4730794019299,643,120,0,NaN,NaN,154454450980953
Complex GMP DOMP sweep,130,130,0,-38.6022780575807,-38.4874882195572,-38.5069529637772,695,130,0,NaN,NaN,1.85205997006578e+15
Complex GMP DOMP sweep,140,140,0,-38.6342034013885,-38.5091970800515,-38.5223350815504,752,140,0,NaN,NaN,1.8592420353413e+15
Complex GMP DOMP sweep,150,150,0,-38.6600790558562,-38.5521110721039,-38.5588512756793,802,150,0,NaN,NaN,1.85838013337665e+15
Complex GMP DOMP sweep,160,160,0,-38.6665109260981,-38.7033430516624,-38.6942690436935,852,160,0,NaN,NaN,1.92907502035031e+15
Complex GMP DOMP sweep,170,170,0,-38.6953099055633,-38.7416552502301,-38.7373011219189,909,170,0,NaN,NaN,1.89184123818895e+15
Complex GMP DOMP sweep,180,180,0,-38.7274648399707,-38.7800252327514,-38.7764286081038,959,180,0,NaN,NaN,1.90358616715368e+15
Complex GMP DOMP sweep,190,190,0,-38.733354019608,-38.7884565008463,-38.782772640113,1025,190,0,NaN,NaN,9.39118354454682e+15
Complex GMP DOMP sweep,200,200,0,-38.7270903456536,-38.8006983811038,-38.7931485262974,1079,200,0,NaN,NaN,9.90462713174327e+15
