Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
Complex GMP-DOMP,20,20,0.001,-31.3195759040521,-31.3716660134456,97,1.00886738120843
Complex GMP-DOMP,20,20,0.0001,-32.8749987889714,-32.9752520103876,97,1.03677651242918
Complex GMP-DOMP,20,20,1e-05,-33.1282138785881,-33.2441150409431,97,1.02203011472319
Complex GMP-DOMP,30,30,0.001,-32.2765638468871,-32.3533035404112,150,0.943388700676059
Complex GMP-DOMP,30,30,0.0001,-34.4529614909785,-34.5429519137741,150,1.11104199432846
Complex GMP-DOMP,30,30,1e-05,-35.1905918458992,-35.277554702648,150,1.29472258149266
Complex GMP-DOMP,40,40,0.001,-32.790492793768,-32.8935610655749,209,0.935781366280742
Complex GMP-DOMP,40,40,0.0001,-34.9748030545789,-35.0872005266306,209,1.11992301292398
Complex GMP-DOMP,40,40,1e-05,-35.8351269731639,-35.9532585411838,209,1.31148260997526
Complex GMP-DOMP,50,50,0.001,-33.5450386075179,-33.6081145620159,257,0.930638887524969
Complex GMP-DOMP,50,50,0.0001,-35.3772536725625,-35.4371028412634,257,1.08709990968905
Complex GMP-DOMP,50,50,1e-05,-36.3426000242421,-36.4127901167974,257,1.27888147864887
Complex GMP-DOMP,60,60,0.001,-33.6371860777582,-33.6969745514952,305,0.915878859697965
Complex GMP-DOMP,60,60,0.0001,-35.610357057617,-35.6587088397033,305,1.07669946581809
Complex GMP-DOMP,60,60,1e-05,-36.5216770581896,-36.5796515154593,305,1.23919747412128
Complex GMP-DOMP,70,70,0.001,-33.7318325724419,-33.7964945418204,362,0.920069991185039
Complex GMP-DOMP,70,70,0.0001,-36.0872278531913,-36.1580452949183,362,1.0863713943093
Complex GMP-DOMP,70,70,1e-05,-36.7779337405815,-36.8349450898792,362,1.22532242706118
Complex GMP-DOMP,80,80,0.001,-33.7003752875481,-33.7506217562902,417,0.904951222033804
Complex GMP-DOMP,80,80,0.0001,-36.1773535242902,-36.2356730931037,417,1.0861070402672
Complex GMP-DOMP,80,80,1e-05,-36.9022421467816,-36.9504047773457,417,1.22801856307597
Complex GMP-DOMP,90,90,0.001,-33.7922894222134,-33.846480764261,476,0.903517078030592
Complex GMP-DOMP,90,90,0.0001,-36.219136539323,-36.2744544683854,476,1.08437129805548
Complex GMP-DOMP,90,90,1e-05,-36.9783322305957,-37.0227782553944,476,1.23000759312258
Complex GMP-DOMP,100,100,0.001,-33.8267811084113,-33.8823895852896,526,0.902806722769708
Complex GMP-DOMP,100,100,0.0001,-36.3139927670597,-36.3672932127655,526,1.08370296735531
Complex GMP-DOMP,100,100,1e-05,-37.0370066074657,-37.0734378133038,526,1.22812612453207
Complex GMP-DOMP,110,110,0.001,-33.914044003266,-33.9784550150945,583,0.884887680332441
Complex GMP-DOMP,110,110,0.0001,-36.3569467513676,-36.4151762780656,583,1.07336733732961
Complex GMP-DOMP,110,110,1e-05,-37.0819455692411,-37.1241852782363,583,1.22273977377883
Complex GMP-DOMP,120,120,0.001,-33.9273567799946,-33.9919622972637,643,0.884326511686416
Complex GMP-DOMP,120,120,0.0001,-36.3735425789091,-36.4322851003059,643,1.07368963413382
Complex GMP-DOMP,120,120,1e-05,-37.1201278437319,-37.1640588111779,643,1.2248157043407
Complex GMP-DOMP,130,130,0.001,-33.9783304692925,-34.0446237016447,695,0.883505965255311
Complex GMP-DOMP,130,130,0.0001,-36.4143164693276,-36.4690297920561,695,1.07456818810095
Complex GMP-DOMP,130,130,1e-05,-37.1611036309187,-37.2032551697257,695,1.22798069021468
Complex GMP-DOMP,140,140,0.001,-34.082263537884,-34.1362585402643,752,0.86375214638784
Complex GMP-DOMP,140,140,0.0001,-36.4180131636623,-36.4583890283992,752,1.05699737979326
Complex GMP-DOMP,140,140,1e-05,-37.1799006305269,-37.2145318734741,752,1.22620946723631
Complex GMP-DOMP,150,150,0.001,-34.1008628482178,-34.1511803693759,802,0.862558658078543
Complex GMP-DOMP,150,150,0.0001,-36.4747590837527,-36.5130464158552,802,1.05662210462741
Complex GMP-DOMP,150,150,1e-05,-37.1949739366888,-37.2262138066251,802,1.22946412519794
Complex GMP-DOMP,160,160,0.001,-34.1563381832974,-34.2042290159158,852,0.860454656810477
Complex GMP-DOMP,160,160,0.0001,-36.5222360028894,-36.5620276131517,852,1.05187548407899
Complex GMP-DOMP,160,160,1e-05,-37.213461354557,-37.2472539483575,852,1.22668546103532
Complex GMP-DOMP,170,170,0.001,-34.1804807113126,-34.2250747688421,909,0.855660198152091
Complex GMP-DOMP,170,170,0.0001,-36.5283945121419,-36.5681674766814,909,1.04857704980585
Complex GMP-DOMP,170,170,1e-05,-37.2219583601211,-37.2533924805381,909,1.22711971478279
Complex GMP-DOMP,180,180,0.001,-34.2094577322813,-34.2526756225587,959,0.855090298827994
Complex GMP-DOMP,180,180,0.0001,-36.5385636242286,-36.5768472979362,959,1.04727160492018
Complex GMP-DOMP,180,180,1e-05,-37.2233115640349,-37.2535105729511,959,1.2263741843856
Complex GMP-DOMP,190,190,0.001,-34.2229701373333,-34.2638259256798,1025,0.854963132004602
Complex GMP-DOMP,190,190,0.0001,-36.551435177514,-36.588020028818,1025,1.0472064196883
Complex GMP-DOMP,190,190,1e-05,-37.2314764399612,-37.2612816277893,1025,1.22603707169766
Complex GMP-DOMP,200,200,0.001,-34.2328810741454,-34.2730481277744,1079,0.854545468660075
Complex GMP-DOMP,200,200,0.0001,-36.5584646062614,-36.5961919139259,1079,1.0468823513696
Complex GMP-DOMP,200,200,1e-05,-37.235499657064,-37.2669958619697,1079,1.22482155197532
Complex GMP-DOMP,210,210,0.001,-34.232997855039,-34.2735795150751,1131,0.85442219100531
Complex GMP-DOMP,210,210,0.0001,-36.5653178308979,-36.6063887635237,1131,1.04682705223744
Complex GMP-DOMP,210,210,1e-05,-37.2415921936101,-37.2756277651755,1131,1.22527037744751
Complex GMP-DOMP,220,220,0.001,-34.1696127337304,-34.2092049282974,1190,0.840289984592549
Complex GMP-DOMP,220,220,0.0001,-36.5772207622495,-36.6185793029287,1190,1.0426405592666
Complex GMP-DOMP,220,220,1e-05,-37.2503966491332,-37.281870850545,1190,1.22442169048015
Complex GMP-DOMP,230,230,0.001,-34.1808181447169,-34.2191969775975,1240,0.838012496318217
Complex GMP-DOMP,230,230,0.0001,-36.59409586149,-36.6359186540509,1240,1.04064068194203
Complex GMP-DOMP,230,230,1e-05,-37.2570217597472,-37.2893502959031,1240,1.22172577642704
Complex GMP-DOMP,240,240,0.001,-34.1203153811469,-34.1546631742097,1290,0.834637393919069
Complex GMP-DOMP,240,240,0.0001,-36.6063695510275,-36.6492992476536,1290,1.04073967410105
Complex GMP-DOMP,240,240,1e-05,-37.2622339279418,-37.2943917853701,1290,1.22106581425846
Complex GMP-DOMP,250,250,0.001,-34.1180165446698,-34.1522980249424,1342,0.834192549192823
Complex GMP-DOMP,250,250,0.0001,-36.611301759794,-36.6531346455447,1342,1.04063355812052
Complex GMP-DOMP,250,250,1e-05,-37.2647198926673,-37.2955184218942,1342,1.22118871645823
Complex GMP-DOMP,260,260,0.001,-34.1375132084425,-34.169232268982,1392,0.833871005472426
Complex GMP-DOMP,260,260,0.0001,-36.624601532958,-36.663932913041,1392,1.03925252114536
Complex GMP-DOMP,260,260,1e-05,-37.2741750376478,-37.304233619131,1392,1.21988723627727
Complex GMP-DOMP,270,270,0.001,-34.139810025285,-34.1683765926916,1442,0.832703123159542
Complex GMP-DOMP,270,270,0.0001,-36.6249721848733,-36.6601119096359,1442,1.03830324728521
Complex GMP-DOMP,270,270,1e-05,-37.2803426546048,-37.3082458824803,1442,1.21980763955932
Complex GMP-DOMP,280,280,0.001,-34.1365062001802,-34.1646456579207,1493,0.832315673444958
Complex GMP-DOMP,280,280,0.0001,-36.6280032110264,-36.6619133417416,1493,1.03825188008526
Complex GMP-DOMP,280,280,1e-05,-37.2852168320612,-37.3102491968251,1493,1.22001328581405
Complex GMP-DOMP,290,290,0.001,-34.1642955307951,-34.1906730584517,1543,0.83166477062602
Complex GMP-DOMP,290,290,0.0001,-36.6441028635249,-36.678079325021,1543,1.03798177048364
Complex GMP-DOMP,290,290,1e-05,-37.2929073501743,-37.3161488635347,1543,1.21937660003805
Complex GMP-DOMP,300,300,0.001,-34.190032935649,-34.2169130061259,1593,0.830602983092054
Complex GMP-DOMP,300,300,0.0001,-36.6530257170486,-36.6862151180265,1593,1.03779226174679
Complex GMP-DOMP,300,300,1e-05,-37.2968531955856,-37.3178590920489,1593,1.21811600790569
Complex GMP-DOMP,310,310,0.001,-34.1774569924348,-34.2055753120258,1643,0.830363852242057
Complex GMP-DOMP,310,310,0.0001,-36.6548208234583,-36.6874576279986,1643,1.03698132469914
Complex GMP-DOMP,310,310,1e-05,-37.2995275561651,-37.3191848613959,1643,1.2184784252998
Complex GMP-DOMP,320,320,0.001,-34.179189107944,-34.2049743218513,1700,0.830147175550152
Complex GMP-DOMP,320,320,0.0001,-36.6548485875252,-36.6861486293546,1700,1.0368908389146
Complex GMP-DOMP,320,320,1e-05,-37.3008787643871,-37.3198083888903,1700,1.21872536333237
Complex GMP-DOMP,330,330,0.001,-34.1803838603361,-34.2059177568862,1752,0.830074583996053
Complex GMP-DOMP,330,330,0.0001,-36.6653128748412,-36.6953393890733,1752,1.03759952884056
Complex GMP-DOMP,330,330,1e-05,-37.3086269816575,-37.3265144288738,1752,1.21737828149549
Complex GMP-DOMP,340,340,0.001,-34.1782386535447,-34.2033913751247,1807,0.829890461153378
Complex GMP-DOMP,340,340,0.0001,-36.6657417298351,-36.6952255392202,1807,1.03761447887396
Complex GMP-DOMP,340,340,1e-05,-37.3099488793708,-37.3261840908986,1807,1.21739774175608
Complex GMP-DOMP,350,350,0.001,-34.1869472285863,-34.2115375526288,1862,0.829831308355736
Complex GMP-DOMP,350,350,0.0001,-36.6690670451059,-36.6973272778534,1862,1.03735013246824
Complex GMP-DOMP,350,350,1e-05,-37.31315982688,-37.3268892028398,1862,1.21714337392936
Complex GMP-DOMP,360,360,0.001,-34.2004002081503,-34.2240175837065,1912,0.829621241735758
Complex GMP-DOMP,360,360,0.0001,-36.6730635089971,-36.700308677421,1912,1.03614606687854
Complex GMP-DOMP,360,360,1e-05,-37.3133460292569,-37.3263915841522,1912,1.21633388625816
Complex GMP-DOMP,370,370,0.001,-34.2015691747766,-34.2248287928893,1962,0.829450196945793
Complex GMP-DOMP,370,370,0.0001,-36.6739138984495,-36.7007008188366,1962,1.03598553012828
Complex GMP-DOMP,370,370,1e-05,-37.3145798888202,-37.3272378155345,1962,1.21628107419538
Complex GMP-DOMP,380,380,0.001,-34.2009672065874,-34.2238657231806,2016,0.829346355316748
Complex GMP-DOMP,380,380,0.0001,-36.6742353686103,-36.7006326733974,2016,1.03600899666463
Complex GMP-DOMP,380,380,1e-05,-37.3156776174121,-37.3280782697414,2016,1.21627644253164
Complex GMP-DOMP,390,390,0.001,-34.2010461613663,-34.2233061335222,2066,0.829345558344068
Complex GMP-DOMP,390,390,0.0001,-36.6769883651053,-36.7033041431027,2066,1.03621589971409
Complex GMP-DOMP,390,390,1e-05,-37.3179210652012,-37.3296670184038,2066,1.21645101844772
Complex GMP-DOMP,400,400,0.001,-34.2020866791039,-34.2238280658916,2120,0.829199819993105
Complex GMP-DOMP,400,400,0.0001,-36.6783753437527,-36.7033565837204,2120,1.03621844428975
Complex GMP-DOMP,400,400,1e-05,-37.31886439718,-37.329871199134,2120,1.21625724531495
Complex GMP-DOMP,410,410,0.001,-34.2032646101368,-34.2239950293977,2172,0.829160080846949
Complex GMP-DOMP,410,410,0.0001,-36.6799076695434,-36.7026800826838,2172,1.0362306360586
Complex GMP-DOMP,410,410,1e-05,-37.3207968410685,-37.3286842197014,2172,1.21623226616889
Complex GMP-DOMP,420,420,0.001,-34.2042955382878,-34.2246019783503,2225,0.829134191839989
Complex GMP-DOMP,420,420,0.0001,-36.6808844212478,-36.7028927492288,2225,1.03618681093099
Complex GMP-DOMP,420,420,1e-05,-37.3235349294629,-37.3297741247066,2225,1.21611942401413
Complex GMP-DOMP,430,430,0.001,-34.205497601341,-34.2252536807111,2275,0.82909382227546
Complex GMP-DOMP,430,430,0.0001,-36.681763956626,-36.7028938481696,2275,1.03614583133466
Complex GMP-DOMP,430,430,1e-05,-37.3268370506488,-37.331740345008,2275,1.21605146773426
Complex GMP-DOMP,440,440,0.001,-34.2066799445631,-34.2260007063697,2325,0.829066254760431
Complex GMP-DOMP,440,440,0.0001,-36.6820856757825,-36.7028842342578,2325,1.03613830125871
Complex GMP-DOMP,440,440,1e-05,-37.3300667346897,-37.3341110371001,2325,1.21608298414115
Complex GMP-DOMP,450,450,0.001,-34.206123313199,-34.2250891870816,2375,0.828846599017473
Complex GMP-DOMP,450,450,0.0001,-36.6828662143314,-36.7027221865998,2375,1.03613419947891
Complex GMP-DOMP,450,450,1e-05,-37.331912321423,-37.3347726152419,2375,1.21598302965365
Complex GMP-DOMP,460,460,0.001,-34.2122122320638,-34.2311122627889,2425,0.828381960317017
Complex GMP-DOMP,460,460,0.0001,-36.6840398451577,-36.7027684655407,2425,1.03559699260264
Complex GMP-DOMP,460,460,1e-05,-37.3336373321718,-37.3356824902892,2425,1.2155749616138
Complex GMP-DOMP,470,470,0.001,-34.2104832638732,-34.2292133544304,2476,0.82788435459975
Complex GMP-DOMP,470,470,0.0001,-36.6838954026347,-36.7019548454806,2476,1.0356703306536
Complex GMP-DOMP,470,470,1e-05,-37.3355817442741,-37.336595168139,2476,1.21568070778854
Complex GMP-DOMP,480,480,0.001,-34.2101550876391,-34.2287679578198,2526,0.827829139017708
Complex GMP-DOMP,480,480,0.0001,-36.6841595978042,-36.7018403571975,2526,1.03565202853245
Complex GMP-DOMP,480,480,1e-05,-37.3359582555345,-37.3371092001886,2526,1.2156903639232
Complex GMP-DOMP,490,490,0.001,-34.2214028173995,-34.2411096465648,2576,0.825627210831873
Complex GMP-DOMP,490,490,0.0001,-36.6872994169036,-36.7043906031744,2576,1.03543716450358
Complex GMP-DOMP,490,490,1e-05,-37.338840303723,-37.3407524734422,2576,1.2151342463556
Complex GMP-DOMP,500,500,0.001,-34.2133260872903,-34.2331848025261,2627,0.825118151676879
Complex GMP-DOMP,500,500,0.0001,-36.6876144990851,-36.7035649239831,2627,1.03531111406247
Complex GMP-DOMP,500,500,1e-05,-37.340512227716,-37.3408125252437,2627,1.21504988198776
PN-IQ PN-DOMP,20,20,0.001,-30.2253090867985,-30.2471056055783,87,0.982014138994216
PN-IQ PN-DOMP,20,20,0.0001,-30.8530104439441,-30.8838986630015,87,0.96483733367345
PN-IQ PN-DOMP,20,20,1e-05,-30.9980365796476,-31.0296113175974,87,0.943498306365472
PN-IQ PN-DOMP,30,30,0.001,-31.8037895903625,-31.8425738355782,111,0.9649989137653
PN-IQ PN-DOMP,30,30,0.0001,-33.9997520152683,-34.0745509193788,111,1.05314596860996
PN-IQ PN-DOMP,30,30,1e-05,-34.2191037717987,-34.2923191219517,111,1.07578103517983
PN-IQ PN-DOMP,40,40,0.001,-33.1633885389943,-33.2132813244917,143,0.882656631313839
PN-IQ PN-DOMP,40,40,0.0001,-35.108499344718,-35.1631001842696,143,1.0330840853038
PN-IQ PN-DOMP,40,40,1e-05,-36.1088358339113,-36.1701985009935,143,1.2641818580134
