Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter,NMSELossFromBestDb,PNNNGainOverGMPDb,FLOPsSavedVsBest,FLOPsSavedPercentVsBest,ParametersSavedVsBest,ParametersSavedPercentVsBest,GainFromPreviousPointDb,ExtraFLOPsFromPreviousPoint,MarginalGainDbPer100AdditionalFLOPs,NearOptimal,BeatsGMP,Admissible,Selected
Sparse PNNN N12,20,20,NaN,NaN,-6.95773921015104,-6.94737083354969,200,6,14,99.4186046511628,164,2.29033255577087,32.4868660584684,-26.3043027591769,940,82.4561403508772,470,95.9183673469388,NaN,NaN,NaN,0,0,0,0
Sparse PNNN N12,30,30,NaN,NaN,-16.4554808395297,-16.4391426406681,220,16,14,98.4496124031008,164,2.55497813224792,22.99509425135,-19.0856427243741,920,80.7017543859649,460,93.8775510204082,9.49177180711841,20,47.4588590355921,0,0,0,0
Sparse PNNN N12,40,40,NaN,NaN,-22.9113335504051,-22.8773653529809,240,26,14,97.4806201550388,164,2.25278568267822,16.5568715390372,-13.3899194976882,900,78.9473684210526,450,91.8367346938775,6.43822271231285,20,32.1911135615642,0,0,0,0
Sparse PNNN N12,50,50,NaN,NaN,-25.191639155845,-25.172962899509,260,36,14,96.5116279069767,164,2.73907947540283,14.2612739925091,-11.7342261341411,880,77.1929824561404,440,89.7959183673469,2.29559754652805,20,11.4779877326403,0,0,0,0
Sparse PNNN N12,60,60,NaN,NaN,-25.4702684801488,-25.4607903726737,280,46,14,95.5426356589147,164,2.41290402412415,13.9734465193444,-12.2682492766612,860,75.4385964912281,430,87.7551020408163,0.287827473164722,20,1.43913736582361,0,0,0,0
Sparse PNNN N12,70,70,NaN,NaN,-25.5932712176805,-25.5875620672194,300,56,14,94.5736434108527,164,2.2131130695343,13.8466748247987,-12.487542148987,840,73.6842105263158,420,85.7142857142857,0.126771694545674,20,0.63385847272837,0,0,0,0
Sparse PNNN N12,80,80,NaN,NaN,-27.8331047282724,-27.8111100377968,320,66,14,93.6046511627907,164,2.13895487785339,11.6231268542213,-10.4318674745994,820,71.9298245614035,410,83.6734693877551,2.22354797057742,20,11.1177398528871,0,0,0,0
Sparse PNNN N12,90,90,NaN,NaN,-28.7432045242173,-28.7114743574729,340,76,14,92.6356589147287,164,2.1096932888031,10.7227625345453,-9.59642427504395,800,70.1754385964912,400,81.6326530612245,0.900364319676054,20,4.50182159838027,0,0,0,0
Sparse PNNN N12,100,100,NaN,NaN,-32.3779413419217,-32.3789951714908,360,86,14,91.6666666666667,164,2.18072080612183,7.05524172052738,-5.98464009137945,780,68.4210526315789,390,79.5918367346939,3.66752081401788,20,18.3376040700894,0,0,0,0
Sparse PNNN N12,110,110,NaN,NaN,-33.2638812183754,-33.2595762925261,380,96,14,90.6976744186046,164,2.2049880027771,6.17466059949201,-5.14144989667869,760,66.6666666666667,380,77.5510204081633,0.880581121035362,20,4.40290560517681,0,0,0,0
Sparse PNNN N12,120,120,NaN,NaN,-33.5766416191856,-33.5885178139391,400,106,14,89.7286821705426,164,2.14668583869934,5.84571907807904,-4.8845615879908,740,64.9122807017544,370,75.5102040816327,0.328941521412979,20,1.64470760706489,0,0,0,0
Sparse PNNN N12,130,130,NaN,NaN,-33.7999649810807,-33.8267661590344,420,116,14,88.7596899224806,164,2.10422706604004,5.60747073298376,-4.68018680474286,720,63.1578947368421,360,73.469387755102,0.238248345095272,20,1.19124172547636,0,0,0,0
Sparse PNNN N12,140,140,NaN,NaN,-33.965134948394,-34.0045085778999,440,126,14,87.7906976744186,164,2.0374219417572,5.42972831411822,-4.51782650365046,700,61.4035087719298,350,71.4285714285714,0.177742418865542,20,0.888712094327708,0,0,0,0
Sparse PNNN N12,150,150,NaN,NaN,-34.0267301470829,-34.0640350814755,460,136,14,86.8217054263566,164,2.03890776634216,5.3702018105426,-4.4948161942038,680,59.6491228070175,340,69.3877551020408,0.0595265035756185,20,0.297632517878093,0,0,0,0
Sparse PNNN N12,160,160,NaN,NaN,-34.1584910601185,-34.2090714094562,480,146,14,85.8527131782946,164,1.98927903175354,5.22516548256192,-4.48519763423728,660,57.8947368421053,330,67.3469387755102,0.145036327980684,20,0.725181639903418,0,0,0,0
Sparse PNNN N12,170,170,NaN,NaN,-34.6611364227004,-34.7091662029687,500,156,14,84.8837209302326,164,2.18123364448547,4.72507068904944,-4.02813491895021,640,56.140350877193,320,65.3061224489796,0.500094793512481,20,2.50047396756241,0,0,0,0
Sparse PNNN N12,180,180,NaN,NaN,-36.7184642891563,-36.7412632416498,520,166,14,83.9147286821705,164,2.12062072753906,2.69297365036832,-2.03516536645401,620,54.3859649122807,310,63.265306122449,2.03209703868112,20,10.1604851934056,0,0,0,0
Sparse PNNN N12,190,190,NaN,NaN,-36.7044265960111,-36.7335785085649,540,176,14,82.9457364341085,164,2.10844969749451,2.70065838345322,-2.04919413154804,600,52.6315789473684,300,61.2244897959184,-0.00768473308489348,20,-0.0384236654244674,0,0,0,0
Sparse PNNN N12,200,200,NaN,NaN,-36.8608563500436,-36.9016869633439,560,186,14,81.9767441860465,164,2.0960373878479,2.53254992867425,-1.89146156295347,580,50.8771929824561,290,59.1836734693878,0.168108454778967,20,0.840542273894833,0,0,0,0
