Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,20,20,Validation-selected Ridge,0,-51.1835337727737,-51.2915999038618,-51.2866617899628,138,20,0,NaN,Not applicable,NaN,NaN,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,30,30,Validation-selected Ridge,0,-51.2769631742197,-51.3482594696529,-51.3498343399041,196,30,0,NaN,Not applicable,NaN,NaN,15,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,40,40,Validation-selected Ridge,0,-51.3160478977552,-51.3819009020667,-51.3733561457307,268,40,0,NaN,Not applicable,NaN,NaN,20,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,50,50,Validation-selected Ridge,0,-51.3303267075698,-51.4019797862206,-51.3883223491005,318,50,0,NaN,Not applicable,NaN,NaN,25,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,60,60,Validation-selected Ridge,0,-51.3677678572717,-51.4344693797135,-51.4149661511558,368,60,0,NaN,Not applicable,NaN,NaN,30,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,70,70,Validation-selected Ridge,0,-51.3780710068672,-51.4467243101111,-51.4270186861424,418,70,0,NaN,Not applicable,NaN,NaN,35,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,80,80,Validation-selected Ridge,0,-51.3882562326483,-51.4659178054728,-51.4458138351723,468,80,0,NaN,Not applicable,NaN,NaN,40,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,90,90,Validation-selected Ridge,0,-51.3869544591219,-51.4750306701563,-51.4531516583345,521,90,0,NaN,Not applicable,NaN,NaN,45,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,100,100,Validation-selected Ridge,0,-51.382285305849,-51.4864793472441,-51.4594985777019,576,100,0,NaN,Not applicable,NaN,NaN,50,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,110,110,Validation-selected Ridge,0,-51.3826342379546,-51.495899347242,-51.467500118552,626,110,0,NaN,Not applicable,NaN,NaN,55,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
