Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,20,20,0.001,-49.3517233742182,-49.3786232198675,138
Complex GMP-DOMP,20,20,0.0001,-51.236138236082,-51.2366523803684,138
Complex GMP-DOMP,20,20,1e-05,-51.290477122994,-51.285900459498,138
Complex GMP-DOMP,30,30,0.001,-49.3243238510848,-49.3502898616985,196
Complex GMP-DOMP,30,30,0.0001,-51.2878218996049,-51.2882389649599,196
Complex GMP-DOMP,30,30,1e-05,-51.3301365374187,-51.3288521542793,196
Complex GMP-DOMP,40,40,0.001,-49.3246144369863,-49.3547161337479,268
Complex GMP-DOMP,40,40,0.0001,-51.3151326583581,-51.3086231640203,268
Complex GMP-DOMP,40,40,1e-05,-51.362076232807,-51.3492786157409,268
Complex GMP-DOMP,50,50,0.001,-49.3286249948916,-49.3562434931896,318
Complex GMP-DOMP,50,50,0.0001,-51.3251387239972,-51.3167029125732,318
Complex GMP-DOMP,50,50,1e-05,-51.379243049072,-51.3634357387901,318
Complex GMP-DOMP,60,60,0.001,-48.825819274929,-48.8536501696812,368
Complex GMP-DOMP,60,60,0.0001,-51.3280849409077,-51.3153734238303,368
Complex GMP-DOMP,60,60,1e-05,-51.3976456495166,-51.3771293165092,368
Complex GMP-DOMP,70,70,0.001,-48.5612285924493,-48.6002842972443,418
Complex GMP-DOMP,70,70,0.0001,-51.3405987227712,-51.3291813956617,418
Complex GMP-DOMP,70,70,1e-05,-51.417496865815,-51.3983904427972,418
Complex GMP-DOMP,80,80,0.001,-48.5567483866396,-48.5951720354302,468
Complex GMP-DOMP,80,80,0.0001,-51.3452747444631,-51.3343717952441,468
Complex GMP-DOMP,80,80,1e-05,-51.4218202644244,-51.4032070320882,468
Complex GMP-DOMP,90,90,0.001,-48.5005422601349,-48.5410823222418,521
Complex GMP-DOMP,90,90,0.0001,-51.3521308395311,-51.3402596662374,521
Complex GMP-DOMP,90,90,1e-05,-51.4331518272582,-51.4125976042469,521
Complex GMP-DOMP,100,100,0.001,-47.8313344015234,-47.8542154468317,576
Complex GMP-DOMP,100,100,0.0001,-51.3386476719852,-51.3232386446223,576
Complex GMP-DOMP,100,100,1e-05,-51.4393948574016,-51.4175203731657,576
Complex GMP-DOMP,110,110,0.001,-47.8122246063123,-47.8349437448298,626
Complex GMP-DOMP,110,110,0.0001,-51.343707337422,-51.3271288008186,626
Complex GMP-DOMP,110,110,1e-05,-51.4410764534378,-51.4186152333466,626
Complex GMP-DOMP,120,120,0.001,-47.0174959051577,-47.0086076655505,674
Complex GMP-DOMP,120,120,0.0001,-51.3157108818747,-51.2971775765742,674
Complex GMP-DOMP,120,120,1e-05,-51.4460641770536,-51.4233234330101,674
Complex GMP-DOMP,130,130,0.001,-46.9793016281367,-46.9668939169603,744
Complex GMP-DOMP,130,130,0.0001,-51.3175129816547,-51.2974561370585,744
Complex GMP-DOMP,130,130,1e-05,-51.4513104956224,-51.4285895347855,744
Complex GMP-DOMP,140,140,0.001,-46.9216894455385,-46.9110552615719,794
Complex GMP-DOMP,140,140,0.0001,-51.3125369991586,-51.2928297547479,794
Complex GMP-DOMP,140,140,1e-05,-51.4581425870925,-51.4346431210295,794
Complex GMP-DOMP,150,150,0.001,-46.6242555549163,-46.6101532034485,844
Complex GMP-DOMP,150,150,0.0001,-51.3047550995761,-51.2854005556121,844
Complex GMP-DOMP,150,150,1e-05,-51.4606037922602,-51.4362543871325,844
Complex GMP-DOMP,160,160,0.001,-46.3271675520882,-46.318634782755,894
Complex GMP-DOMP,160,160,0.0001,-51.293475152764,-51.2763212616121,894
Complex GMP-DOMP,160,160,1e-05,-51.4619620205205,-51.4371820161438,894
Complex GMP-DOMP,170,170,0.001,-46.2357269769931,-46.2239910821766,947
Complex GMP-DOMP,170,170,0.0001,-51.2901748150237,-51.2725621148778,947
Complex GMP-DOMP,170,170,1e-05,-51.4674779801525,-51.44233484927,947
Complex GMP-DOMP,180,180,0.001,-46.225262194002,-46.2143685900459,1011
Complex GMP-DOMP,180,180,0.0001,-51.2923387743584,-51.2734754370467,1011
Complex GMP-DOMP,180,180,1e-05,-51.470862020154,-51.444759233938,1011
Complex GMP-DOMP,190,190,0.001,-46.0948060497919,-46.0733077872093,1055
Complex GMP-DOMP,190,190,0.0001,-51.2802152455508,-51.2641856474458,1055
Complex GMP-DOMP,190,190,1e-05,-51.4764583002799,-51.4494373024696,1055
Complex GMP-DOMP,200,200,0.001,-45.7086988342618,-45.684085603538,1103
Complex GMP-DOMP,200,200,0.0001,-51.248675799718,-51.2302930763531,1103
Complex GMP-DOMP,200,200,1e-05,-51.4762065598142,-51.4487872548385,1103
Complex GMP-DOMP,210,210,0.001,-45.6495256768369,-45.6229326602933,1160
Complex GMP-DOMP,210,210,0.0001,-51.2451335740683,-51.2259233603118,1160
Complex GMP-DOMP,210,210,1e-05,-51.4785353298002,-51.4504673239629,1160
Complex GMP-DOMP,220,220,0.001,-45.6472519942652,-45.6202252791271,1210
Complex GMP-DOMP,220,220,0.0001,-51.2455956744288,-51.2259270248656,1210
Complex GMP-DOMP,220,220,1e-05,-51.4800083690793,-51.4515378832551,1210
Complex GMP-DOMP,230,230,0.001,-45.6441010482428,-45.6167640543205,1260
Complex GMP-DOMP,230,230,0.0001,-51.2475089403189,-51.2270546163901,1260
Complex GMP-DOMP,230,230,1e-05,-51.4816531895656,-51.4518546353318,1260
Complex GMP-DOMP,240,240,0.001,-45.6437507590071,-45.6160162255531,1318
Complex GMP-DOMP,240,240,0.0001,-51.2490948571349,-51.227206636206,1318
Complex GMP-DOMP,240,240,1e-05,-51.4844585285398,-51.4524000692015,1318
Complex GMP-DOMP,250,250,0.001,-45.6438953137853,-45.6160209243918,1383
Complex GMP-DOMP,250,250,0.0001,-51.2498173947082,-51.2269686984317,1383
Complex GMP-DOMP,250,250,1e-05,-51.4862201475066,-51.4525830981091,1383
Complex GMP-DOMP,260,260,0.001,-44.5293925697946,-44.5101001183205,1431
Complex GMP-DOMP,260,260,0.0001,-51.0942116551671,-51.0766049218092,1431
Complex GMP-DOMP,260,260,1e-05,-51.4818689083976,-51.4478006462888,1431
Complex GMP-DOMP,270,270,0.001,-44.4590245013726,-44.4411081522202,1481
Complex GMP-DOMP,270,270,0.0001,-51.0929885016646,-51.074912155384,1481
Complex GMP-DOMP,270,270,1e-05,-51.4836696865154,-51.4488597948982,1481
Complex GMP-DOMP,280,280,0.001,-43.2301723553129,-43.2265784788198,1531
